City,State/Region,Country,Zip Code,MMI,Responses,Distance,Latitude,Longitude,Cluster
Batasan,Central Mindanao,Philippines,,IV,1,170 km,7.03,125.05,0
Gansing,Central Mindanao,Philippines,,V,1,145 km,6.74,124.66,0
Kidapawan,Central Mindanao,Philippines,,IV,1,168 km,7.01,125.09,0
Kisante,Central Mindanao,Philippines,,IV,1,159 km,6.92,125.16,0
Sadsalan,Central Mindanao,Philippines,,IV,1,154 km,6.82,124.62,0
Saguing,Central Mindanao,Philippines,,IV,1,165 km,6.98,125.08,0
San Mateo,Central Mindanao,Philippines,,II,1,191 km,7.18,124.58,0
Dungguan,Muslim Mindanao,Philippines,,V,2,162 km,6.95,124.86,0
Kalbugan,Muslim Mindanao,Philippines,,V,2,167 km,6.96,124.66,0
Astorga,Southern Mindanao,Philippines,,IV,1,165 km,6.91,125.46,0
Balet,Southern Mindanao,Philippines,,IV,1,203 km,7.17,125.77,0
Balutakay,Southern Mindanao,Philippines,,VII,1,143 km,6.72,125.35,0
Bansalan,Southern Mindanao,Philippines,,V,1,147 km,6.79,125.21,0
Baracatan,Southern Mindanao,Philippines,,VII,1,170 km,6.97,125.42,0
Bato,Southern Mindanao,Philippines,,IV,4,179 km,7.04,125.47,0
Camudmud,Southern Mindanao,Philippines,,IV,1,201 km,7.18,125.69,0
Canocotan,Southern Mindanao,Philippines,,IV,4,226 km,7.4,125.77,0
Coronon,Southern Mindanao,Philippines,,V,1,162 km,6.88,125.45,0
Davao,Southern Mindanao,Philippines,,V,20,191 km,7.11,125.63,0
Digos,Southern Mindanao,Philippines,,VI,5,147 km,6.76,125.35,0
Dumlan,Southern Mindanao,Philippines,,III,1,234 km,7.43,125.88,0
Guihing,Southern Mindanao,Philippines,,V,1,139 km,6.68,125.35,0
Kiblawan,Southern Mindanao,Philippines,,V,1,129 km,6.61,125.24,0
New Baclayon,Southern Mindanao,Philippines,,V,1,130 km,6.58,125.37,0
New Visayas,Southern Mindanao,Philippines,,V,1,233 km,7.53,125.62,0
Padada,Southern Mindanao,Philippines,,VI,1,135 km,6.64,125.35,0
Pagsabangan,Southern Mindanao,Philippines,,IV,1,233 km,7.48,125.75,0
Panabo,Southern Mindanao,Philippines,,V,2,213 km,7.31,125.68,0
Samal,Southern Mindanao,Philippines,,III,1,191 km,7.07,125.71,0
Santa Cruz,Southern Mindanao,Philippines,,IV,1,157 km,6.84,125.41,0
Tagum,Southern Mindanao,Philippines,,V,1,226 km,7.38,125.81,0
Talicod,Southern Mindanao,Philippines,,IV,2,179 km,6.96,125.69,0
Tambo,Southern Mindanao,Philippines,,IV,1,199 km,7.16,125.7,0
Ula,Southern Mindanao,Philippines,,IV,2,188 km,7.13,125.49,0
Wangan,Southern Mindanao,Philippines,,III,1,190 km,7.16,125.45,0
